Product Name,Name,Rating,Title,Date,Verified Purchase,Variant Details,Helpful Count,Review Body,Photo URLs
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Janet","1.0","","13 April 2026","Verified Purchase","N/A","0 people found this helpful","Was so excited to purchase this, but it turned out to be a nightmare. The side effects began the first day itself with numbness of toes. I ignored it thinking it's something else. The second and third day, the symptoms got worse. Numbness of toes increased, stomach upset, vomiting, blurry vision scared me, severe pounding headache. The symptoms went away when I stopped taking this but some symptoms still are there and hope they go away Disappointed on calling Amazon customer care, as I was informed that this product can't be refunded and was told to contact Swisse directly. So do your research and then take fish oil from a proper manufacturer.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Arif Pasha","5.0","","20 November 2025","Verified Purchase","Size: 40 count (Pack of 1)","One person found this helpful","Loved the quality of the pills. Will definitely but it again","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Shreyansh Agrawal","2.0","","3 February 2026","Verified Purchase","Size: 200 count (Pack of 1)","One person found this helpful","Why does the bottle has no inner seal and outer seal was super loose too. Its a medical product and strong packaging should be a must","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","alok rathi","5.0","","23 August 2025","Verified Purchase","Size: 200 count (Pack of 1)","2 people found this helpful","I have been using this for long for my family it is perhaps the best in it's category. It doesn't have the smell of fish oil and you don't get any inconvenience after consuming it. Highly recommended.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Shelja k.","5.0","","20 September 2025","Verified Purchase","N/A","2 people found this helpful","Great product, it really works well I could actually see my skin glowing from with in (at least that was the most visible result) , eased movements","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","surendra","2.0","","24 January 2026","Verified Purchase","Size: 40 count (Pack of 1)","0 people found this helpful","Pros- Odorless, Good brand Cons- JUMBO size capsule. Feels dangerous while swallowing and is uneasy while swallowing. Capsule should have been bit smaller","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","fawazsaeed","5.0","","8 November 2025","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","good imported item","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Mohit","5.0","","5 October 2025","Verified Purchase","N/A","One person found this helpful","Using this for over 2 weeks now. Perfect for skin health. Gives even glow to skin. Feels energetic.","https://m.media-amazon.com/images/I/61PPygVvNfL._SY88.jpg | https://m.media-amazon.com/images/I/61BlnNOiBWL._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","vyom","4.0","","2 October 2023","Verified Purchase","N/A","10 people found this helpful","I must say, I was a first-time user of this fish oil, and it has exceeded my expectations. I decided to try it out because I've been experiencing some discomfort and friction in my knees, likely from intense workouts. After researching the benefits of fish oil, I found this product at the top of the list on Amazon.  After nearly a month of regular use, I can confidently say that you'll notice a gradual improvement. However, it's important to note that this won't be a miracle cure overnight.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Parv Mathur","4.0","","1 June 2025","Verified Purchase","N/A","0 people found this helpful","Satisfied","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Sarath","5.0","","21 January 2025","Verified Purchase","Size: 40 count (Pack of 1)","11 people found this helpful","Since there were mixed reviews, I decided to try with a 40 days pack first. And after using it, I must say this is the best omega-3 fish oil I've used so far. No smell, no fishy burps. The capsules are a bit big but thats expected for 1500mg and I haven't had any issues while consuming it. I hope they keep the quality of the product in the future as well.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Ajinkya","4.0","","5 April 2025","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Good quality fish oil. I liked the product.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Vasanth Ezhil","5.0","","26 September 2025","Verified Purchase","Size: 40 count (Pack of 1)","0 people found this helpful","Good packing.. good quality..","https://m.media-amazon.com/images/I/61tB9Oc3RUL._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Robert ®️","2.0","","22 May 2025","Verified Purchase","N/A","20 people found this helpful","I have concerns about their product authenticity selling in India. Unlike the FDA, supplements, vitamins, and complementary medicines are often considered therapeutic goods, regulated as non-prescription medicines by the TGA. In Australia, they have their own regulated body known as the Therapeutic Goods Administration (TGA). This means that the Swisse company must be compliant with TGA legislation and regulations. When I was searching for this product (High Strength Wild Fish Oil) on their official website, I couldn't find most of their products available in India. I need a clarification; otherwise, it's not good to blindly consume. Swisse/Swisse Wellness Ply Ltd is an Australian-based company.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","D S","4.0","","15 September 2021","Verified Purchase","Size: 200 count (Pack of 1)","21 people found this helpful","Click to play video SWISSE High Strength Fish oil Packaging And Box quality is good At the bottom of Nutrition label you find a Scratch code and QR Code to verify it's Genuinity Also it have 1.5Gm of fish oil which is not So good but not so bad , At 1350Rs 200Capsules which is a good deal rather to buy a Cheap 300-500 Rs 60capsule Quality is good and fresh not so thick or not so light (coating of capsule) No fishy burps just don't consume right away by Food Take 20-30mins after consuming food For best Results take 1 in the morning and 1 in the night before goin to bed Also I found this one is better in comparison of NOW fish oil Which gives 1gm fish oil and Swisse Gives 1.5gm Both have 200 Capsule Also it comes From Australia 🇨🇨","https://m.media-amazon.com/images/I/A1U009JUAPL._SY88.jpg | https://m.media-amazon.com/images/I/A10ax5gGU3L._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Somnath Jana","4.0","","29 November 2023","Verified Purchase","N/A","3 people found this helpful","Good quality omega 3 from a reputable brand. it is odorless and does not create any fishy burb. The capsule is quite large. This is made in Australia product, hope that they give the standard and quality expected out of the product. The price fluctuates, could be less.","https://m.media-amazon.com/images/I/61H3FYhzykL._SY88.jpg | https://m.media-amazon.com/images/I/71A0CCGE7pL._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Amazon Customer","4.0","","26 February 2025","Verified Purchase","N/A","0 people found this helpful","Good product","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Adil","2.0","","21 December 2025","Verified Purchase","Size: 200 count (Pack of 1)","One person found this helpful","Not good at all","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Kartikey tripathi","5.0","","11 September 2024","Verified Purchase","N/A","5 people found this helpful","Usually i don't put much reviews but yes it has been just 4-5 days and I can feel some enhanced focus and overall good mood with less distractions. Remember, do not think what it is gonna do and how u can feel it's effect. Just take it normally and eventually you'll see the change.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Rajeev A.","4.0","","13 April 2024","Verified Purchase","N/A","7 people found this helpful","It is a nice product with a decent proportion of DHA and EPA. The gelcaps are a bit too large - they should have been divided in to two smaller capsules. All such supplements must come with a certification of purity.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Vikrant Agnihotri","5.0","","27 March 2025","Verified Purchase","Size: 200 count (Pack of 1)","10 people found this helpful","Good product, but it should also mention clearly vitamin A and D levels in this product also, as people taking higher doses are vulnerable to vitamin A toxicity..so Mention vitamin A level also","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Placeholder","5.0","","20 April 2021","Verified Purchase","Size: 200 count (Pack of 1)","4 people found this helpful","I received this product a week back and I am fully satisfied with the product. In today’s life, our diet is not enough, and we need supplements to maintain our health. I got amazing results from this product. I think this the best fish oil capsules available online at very affordable price. No brands provide such nutritional value at this price. This is one of the best Australian gold standard health supplements. The packaging was so good. I recommend to others of having it on a regular basis to maintain immunity and health as it contains natural source of Omega-3 which supports heart, brain, eye & Joint Health. It also stimulates nervous system health. The best part of this capsule is its completely odorless and you will not feel any bad taste after consuming it. So, guys, don’t think and just GO for this product!!!!","https://m.media-amazon.com/images/I/61J+HnLyVbL._SY88.jpg | https://m.media-amazon.com/images/I/71GiJH0JirL._SY88.jpg | https://m.media-amazon.com/images/I/51xYlC3lM5L._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Varun Mishra","5.0","","16 June 2025","Verified Purchase","Size: 200 count (Pack of 1)","One person found this helpful","Loved it. Felt the difference after taking two capsules per day over 3 months","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Ponraj","5.0","","7 November 2023","Verified Purchase","Size: 200 count (Pack of 1)","7 people found this helpful","Few months before i purchased 200 capsules and consumed all. Product is good, no smell and no burp. In my observation when I consume this Omega 3 oil capsule and have morning walking/running it improves cardiac health. When missed both walking/running and omega 3 my resting heart rate was higher (around 60 bps) whereas when I continue both my resting heart rate dropped to 52-56. I feel this is good cardiac health condition.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Stylish World","5.0","","3 August 2025","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Nice product","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Yash","5.0","","10 November 2024","Verified Purchase","Size: 40 count (Pack of 1)","5 people found this helpful","Very very good product to consume without getting fishy burps or taste. Please buy a pack of 40 first. The gelatin capsule slips in the mouth with water and it is comfortable and easy to swallow. Gelatins are very soft and safe to consume.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Sam","5.0","","25 June 2021","Verified Purchase","N/A","5 people found this helpful","When my large stock of Microgenics Omega-3 capsules (which I purchased abroad) got over, I started ordering various local Omega-3 capsules. All of these were absolutely sub-standard. How do I know? Well, I have been taking this supplement for the last ten years, and taking the local stuff was clearly not showing any signs. In fact, all the long-standing benefits were starting to disappear. So, out of sheer helplessness, I searched for a foreign source and found one that was (though expensive compared to its price abroad) quite reasonable. I bought this Swisse Ultiboost product and I can feel the difference. My search is over. I bought this product a few weeks ago and am happy. I will be ordering this product in future as well.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","PUNEET KANODIA","5.0","","7 July 2025","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Very Good product. Quite Effective","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","pranay kumar","5.0","","25 July 2025","Verified Purchase","N/A","One person found this helpful","Quality capsule","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Sudhir Nayak","3.0","","9 May 2024","Verified Purchase","N/A","25 people found this helpful","I had earlier complained about supply of one year old product. While sending latest supply, they blocked the manufacturing date by pasting a sticker on it, so that manufacturing date could not be seen. This is NOT a good approach to hide the most important information about the product.","https://m.media-amazon.com/images/I/71iofGYAeKL._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Sumit thareja","5.0","","20 July 2025","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Amazing","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Parth","5.0","","17 June 2025","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Odour free capsules","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Lahari","5.0","","21 October 2024","Verified Purchase","Size: 40 count (Pack of 1)","2 people found this helpful","Have been using from past 20 day’s. There are no fishy burp’s. Ideal for vegans. Significant hairfall reduction. Best one. Trustable. No side effects soo far. But size of medicine was bit big. I habituated to it.","https://m.media-amazon.com/images/I/61s5wtVWbGL._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","debjit","4.0","","15 August 2023","Verified Purchase","N/A","2 people found this helpful","No fishy aftertaste. Capsules are coated with a mild flavour doesn't feel bad in the mouth.Found useful for joint pain. Only downside is capsule size. If company works in this aspect nothing can be much better.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Kindle Customer","5.0","","24 October 2024","Verified Purchase","Size: 40 count (Pack of 1)","7 people found this helpful","Trust me when I say this I have purchased almost all the fish oil in the market , most of them are completely trash  But this is the best You can trust this brand","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Abhi","5.0","","25 May 2025","Verified Purchase","Size: 40 count (Pack of 1)","0 people found this helpful","Very helpful","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","ROSHAN JHA","1.0","","24 February 2026","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","They use beaf to make it and hide from customers. Also when you use it couse skin irritations","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Sapna yadav","5.0","","7 September 2021","Verified Purchase","N/A","6 people found this helpful","Guys if ap achi fish oil try krna chahte ho or jispe bad smell bhi na ho to definitely try these capsules nd as you already know about the benefits of the capsules it is very healthy and must have to include in your diet .and plus point is budget friendly. These are higher EPA & DHA more fish oil per capsule than 1000mg standard fish oil capsules no fishy smell no fishy taste reduces stress good for joint, eye, heart and brain health. So go nd try this","https://m.media-amazon.com/images/I/B148nWC4nbS._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Syed Asif Pasha","5.0","","20 June 2023","Verified Purchase","N/A","5 people found this helpful","These multi vitamin and mineral and fish oil tabs are fabulous. It has everything that a women needs to keep her body strong and healthy internally and externally. My wife is happy with this. My wife is happy with this so am I. That's all I want. Don't worry about the money cause every good things has a price. Don't look for cheap products.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Amazon Customer","3.0","","19 April 2024","Verified Purchase","N/A","15 people found this helpful","- Outer soft shell is made from Gelatin which is made from Cow's beef. - Also, Came to know after purchasing that the company's parent company is a Chinese company. Won't be purchasing it next time.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Sharooq Farzeen A K","5.0","","17 December 2023","Verified Purchase","Size: 200 count (Pack of 1)","10 people found this helpful","Been using for over 2 months. Supplement is good quality.  Pill size is large (see image). The 200 qty bottle is also huge, but less expensive when compared to bottles with lower quantities.  The manufacturing process is not mentioned on the bottle or anywhere else. It's advertised as ""Heavy metals tested"".","https://m.media-amazon.com/images/I/51B-56pHpSL._SY88.jpg | https://m.media-amazon.com/images/I/61cAR4qsACL._SY88.jpg | https://m.media-amazon.com/images/I/61Z+GwFThBL._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","navya","5.0","","11 April 2025","Verified Purchase","N/A","0 people found this helpful","Great quality supplement. Highly recommend!","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","John","5.0","","9 October 2023","Verified Purchase","N/A","4 people found this helpful","The product does not have any side effects on me unlike one of the other very popular brands that gave me blood in my stools (due to constipation). There are no burps after hacing this. NO bad smell either. I hope it is doing its job and giving me the benefits of consuming Omega 3 fatty acids.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","S B","4.0","","20 March 2021","Verified Purchase","N/A","3 people found this helpful","While everything is good about the product that you would expect from an international brand.  The only concern is that the product manufacturing was Sep 2019 with a 3 years expiry date, which in itself is not a problem, but one wonders how well the product was stored all this while given it needs a fixed range of temperature and the summer heat in India","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Anas","5.0","","5 March 2023","Verified Purchase","N/A","2 people found this helpful","However I don't know how to gauge the effectiveness. I have been having it since 2 months, one pill a day. The product is good, doesn't gives me nasty burps but it can be a little tough pill to swallow. People who aren't a fan of swallowing pills beware! There's an alternate way to consume them, which is by puncturing the pills and mixing the content in juice.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Muteeba s.","5.0","","8 April 2025","Verified Purchase","N/A","0 people found this helpful","Nice packaging, nutritious,","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","KNGMS Buddy's","5.0","","22 December 2024","Verified Purchase","Size: 40 count (Pack of 1)","0 people found this helpful","There is some flavouring is on the each capsule which made this to consume easily without any foul smell.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","R. Baro","3.0","","19 February 2023","Verified Purchase","Size: 200 count (Pack of 1)","6 people found this helpful","Click to play video अच्छा फिश ऑयल। I tried authanticate showing original but don't know know it original or not . Anyway looks good. Bought 200 caps. After 90 days i will edit this. Hope this will work. If works i will buy subcribe and buy again. Expiery date and manufacturing date mentioned well. Nutritional values showes exceptionally well.","https://m.media-amazon.com/images/I/71B97kYjDLL._SY88.jpg | https://m.media-amazon.com/images/I/61FeUfWYj7L._SY88.jpg | https://m.media-amazon.com/images/I/71q+3WiKTAL._SY88.jpg | https://m.media-amazon.com/images/I/71Uu+3SnshL._SY88.jpg | https://m.media-amazon.com/images/I/71gOMHoG67L._SY88.jpg"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Monica Arya","5.0","","28 March 2024","Verified Purchase","N/A","4 people found this helpful","This is a good product. I am too prone to cough & cold. But since I consumed it for 4 months I didn’t catch cold even once during all winter season & I feel that my immunity has enhanced.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","altaf","5.0","","8 April 2024","Verified Purchase","N/A","4 people found this helpful","After using the swiss omega 3 product for 02 months I found the product very nice and efficient and safe for stomach. The product is up to mark and does not have any side effects.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Khushboo Saadan","5.0","","18 February 2025","Verified Purchase","Size: 40 count (Pack of 1)","2 people found this helpful","The best Omega 3 in the market!","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Kanchan","5.0","","8 September 2021","Verified Purchase","N/A","4 people found this helpful","Along with regular workouts, I include the fish oil tablets in my routine post every meal.  These capsules are ODOURLESS and rich in Omega-3. Few other reasons to choose these are:  - they are high in EPA & DHA compared to other fish oil capsule than 1000mg - these are absolutely odour free and no after taste - lastly these have improved my hair quality adding more Lustre and less hairfall","No Photos"
